delivered_impression,datetime
248,2022-04-09T02:58:43Z
249,2022-04-09T02:59:16Z
250,2022-04-09T02:59:50Z
250,2022-04-09T03:00:23Z
251,2022-04-09T03:00:57Z
252,2022-04-09T03:01:31Z
253,2022-04-09T03:02:04Z
254,2022-04-09T03:02:38Z
254,2022-04-09T03:03:12Z
255,2022-04-09T03:03:45Z
256,2022-04-09T03:04:19Z
257,2022-04-09T03:04:53Z
258,2022-04-09T03:05:26Z
259,2022-04-09T03:06:00Z
260,2022-04-09T03:06:34Z
260,2022-04-09T03:07:07Z
261,2022-04-09T03:07:41Z
262,2022-04-09T03:08:14Z
263,2022-04-09T03:08:48Z
264,2022-04-09T03:09:22Z
265,2022-04-09T03:09:55Z
265,2022-04-09T03:10:29Z
266,2022-04-09T03:11:03Z
267,2022-04-09T03:11:36Z
268,2022-04-09T03:12:10Z
269,2022-04-09T03:12:39Z
269,2022-04-09T03:13:08Z
270,2022-04-09T03:13:37Z
271,2022-04-09T03:14:06Z
271,2022-04-09T03:14:35Z
272,2022-04-09T03:15:04Z
273,2022-04-09T03:15:33Z
274,2022-04-09T03:16:02Z
274,2022-04-09T03:16:31Z
275,2022-04-09T03:17:00Z
276,2022-04-09T03:17:29Z
277,2022-04-09T03:17:58Z
277,2022-04-09T03:18:27Z
277,2022-04-09T03:18:56Z
278,2022-04-09T03:19:25Z
279,2022-04-09T03:19:55Z
280,2022-04-09T03:20:24Z
281,2022-04-09T03:20:53Z
282,2022-04-09T03:21:22Z
283,2022-04-09T03:21:51Z
283,2022-04-09T03:22:20Z
284,2022-04-09T03:22:49Z
285,2022-04-09T03:23:18Z
285,2022-04-09T03:23:47Z
285,2022-04-09T03:24:16Z
286,2022-04-09T03:24:45Z
287,2022-04-09T03:25:14Z
288,2022-04-09T03:25:43Z
289,2022-04-09T03:26:12Z
290,2022-04-09T03:26:41Z
291,2022-04-09T03:27:10Z
291,2022-04-09T03:27:39Z
291,2022-04-09T03:28:08Z
292,2022-04-09T03:28:37Z
293,2022-04-09T03:29:06Z
