market,ad_network,os,slot,format,page,revenue,placement_name
US,gam,android,inside,native,article,0.005185,am-android-article-inside-native-midwaywinner-ctrl-low
US,gam,android,inside,native,article,0.04928,am-android-article-inside-native-midwaywinner-exp-high
US,gam,android,inside,native,article,0.004016,am-android-article-inside-native-midwaywinner-exp-low
US,gam,android,inside,native,article,437.880788,am-android-article-inside-native-nus-2-high
US,gam,android,inside,native,article,47.004258,am-android-article-inside-native-nus-2-low
US,gam,android,inside,native,article,194.997586,am-android-article-inside-native-nus-2-medium
US,gam,android,inside,native,article,453.887324,am-android-article-inside-native-nus-3-high
US,gam,android,inside,native,article,38.375105,am-android-article-inside-native-nus-3-low
US,gam,android,inside,native,article,190.924835,am-android-article-inside-native-nus-3-medium
US,gam,android,inside,native,article,582.385381,am-android-article-inside-native-nus-ctrl-high
US,gam,android,inside,native,article,48.777357,am-android-article-inside-native-nus-ctrl-low
US,gam,android,inside,native,article,253.311883,am-android-article-inside-native-nus-ctrl-medium
US,gam,android,inside,native,article,3.293869,am-android-article-inside-native-obib-ib-high
US,gam,android,inside,native,article,0.094421,am-android-article-inside-native-obib-ib-low
US,gam,android,inside,native,article,0.396496,am-android-article-inside-native-obib-ib-medium
US,gam,android,inside,native,article,0.227521,am-android-article-inside-native-obwaterfall-ctrl-high
US,gam,android,inside,native,article,0.109351,am-android-article-inside-native-obwaterfall-ctrl-low
US,gam,android,inside,native,article,0.151894,am-android-article-inside-native-obwaterfall-ctrl-medium
US,gam,android,inside,native,article,8.500838,am-android-article-inside-native-prod-high
US,gam,android,inside,native,article,2.129606,am-android-article-inside-native-prod-low
US,gam,android,inside,native,article,2.555952,am-android-article-inside-native-prod-medium
GB,gam,android,inside,native,article,0.257773,am-android-article-inside-native-uk-exp-high
GB,gam,android,inside,native,article,0.276452,am-android-article-inside-native-uk-exp-low
GB,gam,android,inside,native,article,0.17422,am-android-article-inside-native-uk-exp-medium
US,gam,android,inside,native,article,0.045643,am-android-article-inside-test
US,gam,android,related,native,article,1680.719649,am-android-article-related-high
US,gam,android,related,native,article,2625.203864,am-android-article-related-high-exp
US,gam,android,related,native,article,1217.238868,am-android-article-related-low
US,gam,android,related,native,article,1688.407976,am-android-article-related-low-exp
US,gam,android,related,native,article,1879.677135,am-android-article-related-medium
US,gam,android,related,native,article,2618.552911,am-android-article-related-medium-exp
AR,gam,android,related,native,article,9.575619,am-android-article-related-native-ar-exp-high
AR,gam,android,related,native,article,6.057633,am-android-article-related-native-ar-exp-low
AR,gam,android,related,native,article,6.90915,am-android-article-related-native-ar-exp-medium
AT,gam,android,related,native,article,5.741641,am-android-article-related-native-at-exp-high
AT,gam,android,related,native,article,3.473311,am-android-article-related-native-at-exp-low
AT,gam,android,related,native,article,6.899665,am-android-article-related-native-at-exp-medium
AU,gam,android,related,native,article,38.100239,am-android-article-related-native-au-exp-high
AU,gam,android,related,native,article,12.829756,am-android-article-related-native-au-exp-low
AU,gam,android,related,native,article,34.637072,am-android-article-related-native-au-exp-medium
BR,gam,android,related,native,article,601.594762,am-android-article-related-native-br-dedupe-high
BR,gam,android,related,native,article,597.402498,am-android-article-related-native-br-dedupe-low
BR,gam,android,related,native,article,535.064862,am-android-article-related-native-br-dedupe-medium
BR,gam,android,related,native,article,103.434758,am-android-article-related-native-br-exp-high
