ad_unit_name,market,ad_network,os,slot,format,page
am-android-article-inside-native-ibdd-ctrl4-medium,US,gam,android,inside,native,article
am-android-article-inside-native-ibdd-ctrl4-low,US,gam,android,inside,native,article
am-android-article-inside-display-ibdd-ctrl4-high,US,gam,android,inside,display,article
am-android-article-inside-display-ibdd-ctrl4-medium,US,gam,android,inside,display,article
am-android-article-inside-display-ibdd-ctrl4-low,US,gam,android,inside,display,article
fb-android-article-inside-native-ibdd-exp4,US,fb,android,inside,native,article
am-android-article-inside-native-ibdd-exp4-high,US,gam,android,inside,native,article
am-android-article-inside-native-ibdd-exp4-medium,US,gam,android,inside,native,article
am-android-article-inside-native-ibdd-exp4-low,US,gam,android,inside,native,article
am-android-article-inside-display-ibdd-exp4-high,US,gam,android,inside,display,article
am-android-article-inside-display-ibdd-exp4-medium,US,gam,android,inside,display,article
am-android-article-inside-display-ibdd-exp4-low,US,gam,android,inside,display,article
fb-ios-foryou-large-native-redesign-control,US,fb,ios,large,native,foryou
am-ios-foryou-large-native-high-redesign-control,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-medium-redesign-control,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-low-redesign-control,US,gam,ios,large,native,foryou
fb-ios-foryou-large-native-redesign-exp,US,fb,ios,large,native,foryou
am-ios-foryou-large-native-high-redesign-exp,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-medium-redesign-exp,US,gam,ios,large,native,foryou
am-ios-foryou-large-native-low-redesign-exp,US,gam,ios,large,native,foryou
am-android-article-top-display-ds-high,US,gam,android,top,display,article
am-ios-article-inside-display-ds-high,US,gam,ios,inside,display,article
am-ios-article-top-display-ds-high,US,gam,ios,top,display,article
fb-android-article-inside-display-banner-open-bidding,US,fb,android,inside,display,article
gam360-android-article-inside-display-ob-exp1,US,gam360,android,inside,display,article
gam360-android-article-related-native-ob-exp-high,US,gam360,android,related,native,article
fb-android-article-inside-display-rectangle-open-bidding,US,fb,android,inside,display,article
fb-android-article-inside-native-open-bidding-exp2,US,fb,android,inside,native,article
gam360-android-article-inside-native-ob-exp1,US,gam360,android,inside,native,article
gam360-android-article-inside-display-rectangle-ob-exp1,US,gam360,android,inside,native,article
fb-android-article-related-native-ob-exp-medium,US,fb,android,related,native,article
fb-android-article-inside-native-open-bidding,US,fb,android,inside,native,article
fb-android-article-related-native-ob-exp-high,US,fb,android,related,native,article
gam360-android-article-inside-native-ob-exp2,US,gam360,android,inside,native,article
gam360-android-article-related-native-ob-exp-medium,US,gam360,android,related,native,article
fb-android-foryou-large-native-ob-prod-high,US,fb,android,large,native,foryou
fb-android-foryou-large-native-ob-prod-medium,US,fb,android,large,native,foryou
fb-android-foryou-large-native-ob-prod-low,US,fb,android,large,native,foryou
gam360-android-foryou-large-native-ob-prod-high,US,gam360,android,large,native,foryou
gam360-android-foryou-large-native-ob-prod-medium,US,gam360,android,large,native,foryou
gam360-android-foryou-large-native-ob-prod-low,US,gam360,android,large,native,foryou
fb-android-article-inside-native-ob-prod-high,US,fb,android,inside,native,article
fb-android-article-inside-native-ob-prod-low,US,fb,android,inside,native,article
fb-android-article-inside-native-ob-prod-medium,US,fb,android,inside,native,article
gam360-android-article-inside-native-ob-prod-high,US,gam360,android,inside,native,article
