advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
Ace Hardware,21839579524 » am-android-foryou-large-ib-high,1.37%,1.01,73,13.80
Ace Hardware,21839579524 » am-android-foryou-large-ib-low,0.98%,1.01,307,3.30
Ace Hardware,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.05,193,5.44
Acer,21839579524 » am-android-foryou-large-ib-high,7.14%,0.17,14,12.01
Acer,21839579524 » am-android-foryou-large-ib-low,0.00%,0.05,16,3.01
Acer,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.14,28,5.12
Achmea Holding,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Acme Paper & Supply,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
Acme Paper & Supply,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
Acon Investments,21839579524 » am-android-foryou-large-ib-high,1.25%,7.70,640,12.03
Acon Investments,21839579524 » am-android-foryou-large-ib-low,0.42%,3.63,"1,200",3.03
Acon Investments,21839579524 » am-android-foryou-large-ib-medium,0.59%,5.93,"1,177",5.04
Acorns,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
Acorns,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,12,3.01
Acorns,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,4,5.08
AcrylicsRus,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
Activision Blizzard,21839579524 » am-android-foryou-large-ib-high,0.48%,608.70,"49,544",12.29
Activision Blizzard,21839579524 » am-android-foryou-large-ib-low,0.24%,166.28,"53,538",3.11
Activision Blizzard,21839579524 » am-android-foryou-large-ib-medium,0.26%,317.46,"61,365",5.17
Actoserba Active Retail,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.00
Actoserba Active Retail,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.00
Actoserba Active Retail,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,5,6.04
Acumen Holdings,21839579524 » am-android-foryou-large-ib-high,0.00%,0.07,5,13.26
Acumen Holdings,21839579524 » am-android-foryou-large-ib-low,10.28%,0.36,107,3.32
Acumen Holdings,21839579524 » am-android-foryou-large-ib-medium,5.45%,0.32,55,5.83
Acura Dealers,21839579524 » am-android-foryou-large-ib-high,1.92%,7.58,574,13.21
Acura Dealers,21839579524 » am-android-foryou-large-ib-low,1.13%,5.22,"1,678",3.11
Acura Dealers,21839579524 » am-android-foryou-large-ib-medium,0.86%,6.71,"1,280",5.24
Ad Victoriam Ventures,21839579524 » am-android-foryou-large-ib-high,0.68%,3.64,296,12.29
Ad Victoriam Ventures,21839579524 » am-android-foryou-large-ib-low,3.70%,0.50,162,3.11
Ad Victoriam Ventures,21839579524 » am-android-foryou-large-ib-medium,1.56%,1.37,257,5.33
Ad-ventures 4,21839579524 » am-android-foryou-large-ib-high,12.78%,136.29,"11,256",12.11
Ad-ventures 4,21839579524 » am-android-foryou-large-ib-low,4.88%,363.03,"119,791",3.03
Ad-ventures 4,21839579524 » am-android-foryou-large-ib-medium,6.98%,347.02,"68,703",5.05
AdHarmonics,21839579524 » am-android-foryou-large-ib-high,3.45%,913.20,"52,479",17.40
AdHarmonics,21839579524 » am-android-foryou-large-ib-low,1.00%,202.19,"62,257",3.25
AdHarmonics,21839579524 » am-android-foryou-large-ib-medium,1.35%,399.70,"66,398",6.02
AdOutreach,21839579524 » am-android-foryou-large-ib-high,0.43%,5.90,462,12.78
AdOutreach,21839579524 » am-android-foryou-large-ib-low,0.56%,1.89,531,3.57
AdOutreach,21839579524 » am-android-foryou-large-ib-medium,0.17%,3.25,582,5.59
AdWords small businesses,21839579524 » am-android-foryou-large-ib-high,3.46%,"142,940.49","11,742,194",12.17
AdWords small businesses,21839579524 » am-android-foryou-large-ib-low,1.90%,"125,550.15","41,455,485",3.03
AdWords small businesses,21839579524 » am-android-foryou-large-ib-medium,2.60%,"133,786.04","26,493,187",5.05
Adafruit Industries,21839579524 » am-android-foryou-large-ib-high,0.00%,1.29,107,12.03
Adafruit Industries,21839579524 » am-android-foryou-large-ib-low,1.05%,1.16,380,3.05
Adafruit Industries,21839579524 » am-android-foryou-large-ib-medium,2.13%,1.42,282,5.05
Adaptive Health,21839579524 » am-android-foryou-large-ib-high,1.74%,"1,108.20","90,497",12.25
Adaptive Health,21839579524 » am-android-foryou-large-ib-low,0.78%,422.14,"138,990",3.04
Adaptive Health,21839579524 » am-android-foryou-large-ib-medium,1.10%,658.37,"130,159",5.06
Adhunter,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,14,3.05
Adhunter,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.01
Adidas,21839579524 » am-android-foryou-large-ib-high,0.73%,250.79,"20,561",12.20
Adidas,21839579524 » am-android-foryou-large-ib-low,0.54%,22.89,"7,400",3.09
Adidas,21839579524 » am-android-foryou-large-ib-medium,0.43%,64.84,"12,677",5.11
Aditya Birla Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.34,24,14.36
Aditya Birla Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,7,3.12
Adknown Media,21839579524 » am-android-foryou-large-ib-high,0.00%,0.07,6,12.01
Adknown Media,21839579524 » am-android-foryou-large-ib-low,5.00%,0.06,20,3.11
Adknown Media,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.05,10,5.04
Admiral Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Admiral Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Adobe Systems,21839579524 » am-android-foryou-large-ib-high,1.54%,5.62,454,12.37
