delivered_impression,timestamp
12074,1649343257
12074,1649343264
12074,1649343271
12074,1649343279
12074,1649343286
12074,1649343293
12075,1649343301
12075,1649343308
12075,1649343315
12075,1649343323
12075,1649343330
12076,1649343337
12076,1649343345
12076,1649343352
12076,1649343359
12076,1649343366
12077,1649343374
12077,1649343381
12077,1649343388
12077,1649343396
12077,1649343403
12077,1649343410
12078,1649343418
12078,1649343425
12078,1649343432
12078,1649343440
12078,1649343447
12078,1649343454
12079,1649343462
12079,1649343469
12079,1649343476
12079,1649343484
12079,1649343491
12080,1649343498
12080,1649343506
12080,1649343513
12080,1649343520
12080,1649343528
12080,1649343535
12081,1649343542
12081,1649343550
12081,1649343557
12081,1649343564
12081,1649343572
12082,1649343579
12082,1649343586
12082,1649343594
12082,1649343601
12082,1649343608
12083,1649343616
12083,1649343623
12083,1649343630
12083,1649343638
12083,1649343645
12083,1649343652
12084,1649343660
12084,1649343667
12084,1649343674
12084,1649343682
12084,1649343689
12084,1649343696
12085,1649343704
12085,1649343711
12085,1649343718
12085,1649343726
12085,1649343733
12086,1649343740
12086,1649343748
12086,1649343755
12086,1649343762
12086,1649343770
12086,1649343777
12087,1649343784
12087,1649343792
12087,1649343799
12087,1649343806
12087,1649343814
12088,1649343821
12088,1649343828
12088,1649343836
12088,1649343843
12088,1649343850
12089,1649343858
12089,1649343865
12089,1649343872
12089,1649343880
12089,1649343887
12089,1649343894
12090,1649343902
12090,1649343909
12090,1649343916
12090,1649343924
12090,1649343931
12090,1649343938
12091,1649343946
12091,1649343953
12091,1649343960
12091,1649343968
12091,1649343975
12092,1649343982
12092,1649343990
12092,1649343997
12092,1649344004
12092,1649344012
12092,1649344019
12093,1649344026
12093,1649344034
12093,1649344041
12093,1649344048
12093,1649344056
12094,1649344063
12094,1649344070
12094,1649344078
12094,1649344085
12094,1649344092
12095,1649344100
12095,1649344107
12095,1649344114
12095,1649344122
12095,1649344129
12095,1649344136
12096,1649344144
12096,1649344151
12096,1649344158
12096,1649344166
12096,1649344173
12096,1649344180
12097,1649344188
12097,1649344195
12097,1649344202
12097,1649344210
12097,1649344217
12098,1649344224
12098,1649344232
12098,1649344239
12098,1649344246
12098,1649344254
12098,1649344261
12099,1649344268
12099,1649344276
12099,1649344283
12099,1649344290
12100,1649344298
12100,1649344305
12100,1649344312
12100,1649344320
12100,1649344327
12100,1649344334
12100,1649344342
12101,1649344349
12101,1649344356
12101,1649344364
12101,1649344371
12101,1649344378
12102,1649344386
12102,1649344393
12102,1649344400
12102,1649344408
12102,1649344415
12102,1649344422
12103,1649344430
12103,1649344437
12103,1649344444
12103,1649344452
12103,1649344459
12104,1649344466
12104,1649344474
12104,1649344481
12104,1649344488
12104,1649344496
12105,1649344503
12105,1649344510
12105,1649344518
12105,1649344525
12105,1649344532
12105,1649344540
12105,1649344547
12106,1649344554
12106,1649344562
12106,1649344569
12106,1649344576
12107,1649344584
12107,1649344591
12107,1649344598
12107,1649344606
12107,1649344613
12107,1649344620
12108,1649344628
12108,1649344635
12108,1649344642
12108,1649344650
12108,1649344657
12108,1649344664
12109,1649344672
12109,1649344679
12109,1649344686
12109,1649344694
12109,1649344701
12110,1649344708
12110,1649344716
12110,1649344723
12110,1649344730
12110,1649344738
12111,1649344745
12111,1649344752
12111,1649344760
12111,1649344767
12111,1649344774
12111,1649344782
12112,1649344789
12112,1649344796
12112,1649344804
12112,1649344811
12112,1649344818
12112,1649344826
12113,1649344833
12113,1649344840
12113,1649344848
12113,1649344855
12113,1649344862
12114,1649344870
12114,1649344877
12114,1649344884
12114,1649344892
12114,1649344899
12114,1649344906
12115,1649344914
12115,1649344921
12115,1649344928
12115,1649344936
12116,1649344943
12116,1649344950
12116,1649344958
12116,1649344965
12116,1649344972
12116,1649344980
12116,1649344987
12117,1649344994
12117,1649345002
12117,1649345009
12117,1649345016
12117,1649345024
12118,1649345031
12118,1649345038
12118,1649345046
12118,1649345053
12118,1649345060
12118,1649345068
12119,1649345075
12119,1649345082
12119,1649345090
12119,1649345097
12119,1649345104
12120,1649345112
12120,1649345119
12120,1649345126
12120,1649345134
12120,1649345141
12121,1649345148
12121,1649345155
12121,1649345163
12121,1649345170
12121,1649345177
12121,1649345185
12121,1649345192
12122,1649345199
12123,1649345207
12123,1649345214
12123,1649345221
12123,1649345229
12123,1649345236
12123,1649345243
12123,1649345251
12123,1649345258
12123,1649345265
12123,1649345273
12123,1649345280
12123,1649345287
12124,1649345295
12125,1649345302
12125,1649345309
12125,1649345317
12125,1649345324
12125,1649345331
12125,1649345339
12125,1649345346
12125,1649345353
12125,1649345361
12126,1649345368
12127,1649345375
12127,1649345383
12127,1649345390
12127,1649345397
12127,1649345405
12127,1649345412
12127,1649345419
12127,1649345427
12127,1649345434
12127,1649345441
12128,1649345449
12128,1649345456
12128,1649345463
12128,1649345471
12129,1649345478
12129,1649345485
12129,1649345493
12129,1649345500
12129,1649345507
12130,1649345515
12130,1649345522
12130,1649345529
12130,1649345537
12130,1649345544
12131,1649345551
12131,1649345559
12131,1649345566
12131,1649345573
12131,1649345581
12131,1649345588
12131,1649345595
12132,1649345603
12133,1649345610
12133,1649345617
12133,1649345625
12133,1649345632
12133,1649345639
12133,1649345647
12133,1649345654
12133,1649345661
12133,1649345669
12133,1649345676
12133,1649345683
12133,1649345691
12134,1649345698
12135,1649345705
12135,1649345713
12135,1649345720
12135,1649345727
12135,1649345735
12135,1649345742
12135,1649345749
12135,1649345757
12135,1649345764
12136,1649345771
12137,1649345779
12137,1649345786
12137,1649345793
12137,1649345801
12137,1649345808
12137,1649345815
12137,1649345823
12137,1649345830
12137,1649345837
12137,1649345845
12138,1649345852
12138,1649345859
12138,1649345867
12138,1649345874
12139,1649345881
12139,1649345889
12139,1649345896
12139,1649345903
12139,1649345911
12140,1649345918
12140,1649345925
12140,1649345933
12140,1649345940
12140,1649345947
12141,1649345955
12141,1649345962
12141,1649345969
12141,1649345977
12141,1649345984
12141,1649345991
12142,1649345999
12142,1649346006
12142,1649346013
12142,1649346021
12142,1649346028
12142,1649346035
12143,1649346043
12143,1649346050
12143,1649346058
12143,1649346066
12143,1649346074
12144,1649346082
12144,1649346090
12144,1649346099
12144,1649346107
12145,1649346115
12145,1649346123
12145,1649346131
12145,1649346139
12145,1649346147
12145,1649346155
12146,1649346163
12146,1649346171
12146,1649346179
12146,1649346188
12146,1649346196
12147,1649346204
12147,1649346212
12147,1649346220
12147,1649346228
12148,1649346236
12148,1649346244
12148,1649346252
12148,1649346260
12148,1649346268
12148,1649346277
12149,1649346285
12149,1649346293
12149,1649346301
12149,1649346309
